90001,1,1
90017,3,4
90028,1,2
90032,1,3
90035,2,3
90051,1,2
90070,1,3
90078,3,1
90079,0,0
90083,2,1
90087,1,1
90089,1,3
90091,2,3
90092,1,2
90093,3,4
90113,0,0
90116,2,4
90132,1,2
90142,1,2
90144,1,3
90149,3,2
90154,1,3
90155,1,0
90162,3,1
90171,3,4
90174,1,3
90175,1,3
90192,1,3
90204,1,1
90206,0,0
90209,1,1
90212,1,2
90213,1,3
90219,2,2
90223,2,3
90224,3,1
90230,1,3
90236,2,3
90247,1,3
90252,1,3
90254,1,3
90256,1,3
90258,3,4
90260,1,2
90275,1,0
90279,0,1
90280,1,3
90290,0,0
90294,1,2
90299,2,3
90320,2,3
90322,2,3
90329,1,1
90335,0,0
90350,3,3
90352,3,4
90359,1,3
90368,1,3
90386,1,0
90388,1,2
90401,1,2
90403,1,3
90407,2,2
90410,3,2
90416,1,0
90417,0,1
90423,1,3
90432,1,3
90436,3,2
90444,3,4
90450,1,3
90468,1,4
90470,1,2
90472,3,0
90486,2,3
90487,0,3
90498,2,5
90503,1,1
90515,2,3
90516,1,3
90525,1,1
90538,1,2
90548,1,1
90549,2,1
90560,1,0
90561,1,0
90573,1,2
90576,1,3
90580,1,3
90581,1,3
90583,1,3
90587,2,3
90593,1,0
90595,0,0
90600,2,3
90605,1,2
90611,2,2
90613,2,4
90619,1,0
90622,0,0
90623,0,3
90626,1,2
90627,1,1
90646,1,2
90652,1,1
90657,1,2
90673,0,2
90681,1,1
90682,1,3
90686,1,3
90696,1,3
90697,2,1
90703,1,1
90707,2,2
90721,3,4
90723,0,0
90725,2,3
90729,0,0
90738,1,2
90739,1,3
90748,0,0
90756,1,1
90766,1,1
90767,0,0
90774,1,3
90785,1,3
90788,1,0
90789,3,4
90812,1,1
90816,1,3
90820,1,3
90826,1,3
90833,3,4
90845,1,2
90857,3,3
90861,2,3
90864,2,3
90873,1,4
90879,2,3
90882,2,2
90886,1,2
90897,0,0
90901,1,3
90902,1,3
90911,0,0
90914,2,3
90931,2,2
90934,3,4
90939,1,3
90946,2,3
90954,2,4
90958,1,0
90969,1,0
90977,0,0
90987,3,4
90995,1,1
90998,0,2
91003,1,2
91020,1,0
91043,1,3
91050,1,3
91060,0,1
91062,1,0
91071,1,3
91076,2,5
91079,1,2
91080,2,5
91050,1,3
91060,0,1
91062,1,0
91071,1,3
91076,2,5
91079,1,2
91080,2,5
91082,1,3
91083,3,4
91099,1,2
91114,0,1
91136,1,2
91138,1,3
91139,0,0
91143,3,2
91164,2,3
91170,1,3
91171,1,4
91172,3,4
91173,1,1
91185,1,0
91189,0,0
91192,1,3
91199,0,0
91204,1,2
91210,3,2
91217,2,3
91218,3,4
91222,1,3
91223,2,2
91226,1,3
91228,1,2
91236,1,2
91245,2,2
91261,2,4
91267,1,3
91270,1,3
91275,0,0
91276,1,0
91278,1,2
91288,3,4
91293,1,3
91294,0,0
91295,1,1
91297,1,3
91305,1,2
91314,2,1
91316,1,3
91317,1,1
91329,2,2
91338,1,3
91342,1,2
91345,1,0
91358,2,3
91361,3,4
91377,3,1
91380,1,3
91386,3,4
91387,1,2
91391,1,3
91399,3,4
91417,1,2
91418,1,1
91421,1,2
91432,1,2
91436,2,2
91438,1,1
91439,1,3
91450,1,1
91459,1,3
91461,0,2
91467,2,4
91473,1,4
91475,1,3
91478,0,0
91480,1,3
91487,1,4
91489,1,3
91501,1,0
91512,1,3
91513,1,2
91516,3,4
91519,2,4
91527,0,0
91533,3,3
91549,1,2
91559,1,3
91562,3,4
91565,1,3
91569,1,3
91577,1,3
91600,1,2
91607,1,3
91621,1,0
91630,2,4
91631,1,3
91632,3,1
91636,3,1
91640,3,4
91641,2,3
91647,1,2
91648,1,2
91653,1,1
91654,2,2
91673,0,0
91677,2,2
91680,1,3
91682,3,4
91688,2,2
91690,0,0
91705,3,4
91706,0,1
91710,1,1
91711,3,4
91717,2,3
91722,1,2
91740,3,4
91744,1,4
91745,0,1
91748,1,2
91749,1,3
91761,2,2
91762,1,3
91772,3,4
91774,3,4
91791,2,2
91793,1,1
91800,1,3
91803,2,2
91804,1,1
91806,2,2
91825,2,2
91830,1,0
91833,1,2
91835,1,3
91852,0,0
91854,3,2
91867,3,4
91872,1,2
91883,1,1
91884,3,4
91890,1,1
91897,1,0
91908,2,4
91909,1,2
91910,1,3
91913,3,4
91914,1,3
91921,1,3
91922,3,4
91925,2,4
91926,1,1
91927,1,3
91941,1,0
91945,1,2
91946,1,2
91947,1,1
91950,1,1
91957,3,4
91971,1,3
91972,0,0
91973,1,1
91974,3,4
91975,3,3
91984,3,4
91991,1,3
92001,1,2
92002,1,2
92024,1,3
92032,1,3
92039,0,1
92050,2,1
92053,1,0
92071,3,2
92095,2,5
92101,0,0
92102,2,2
92111,3,3
92122,2,3
92136,1,2
92138,2,3
92145,1,1
92147,3,4
92156,2,1
92160,1,3
92167,1,3
92168,1,1
92174,2,3
92176,1,3
92178,1,4
92183,1,1
92188,1,3
92196,3,4
92197,2,3
92207,1,3
92217,1,3
92225,1,2
92235,1,2
92237,2,3
92248,0,0
92259,1,0
92263,1,3
92265,2,2
92267,1,2
92272,1,3
92273,2,2
92284,1,3
92285,1,3
92291,1,2
92298,2,0
92303,0,1
92306,1,3
92309,1,3
92314,3,4
92317,2,2
92329,0,0
92330,1,2
92331,2,0
92332,1,2
92336,1,2
92347,1,3
92349,1,1
92351,1,3
92355,0,0
92356,1,3
92368,1,1
92370,3,3
92376,1,0
92379,0,0
92380,1,4
92388,1,3
92389,1,3
92400,2,5
92402,3,4
92403,1,1
92406,1,1
92409,2,3
92414,1,2
92420,0,0
92421,1,3
92433,3,4
92439,1,1
92441,2,2
92450,1,2
92452,1,3
92459,1,3
92460,1,2
92466,1,3
92470,1,3
92475,1,2
92476,1,2
92480,1,3
92491,1,3
92505,1,3
92506,1,3
92525,0,1
92531,3,4
92533,1,3
92549,2,5
92557,2,5
92558,1,1
92562,3,4
92569,1,3
92588,1,3
92592,1,1
92595,1,3
92598,1,2
92605,1,1
92611,1,4
92616,1,2
92625,1,4
92626,2,1
92641,2,1
92645,3,3
92654,3,4
92666,1,1
92668,1,3
92673,0,0
92693,1,2
92704,0,2
92709,1,3
92713,1,3
92733,1,3
92735,1,4
92745,1,3
92746,1,2
92749,1,2
92751,1,0
92765,1,3
92776,1,1
92797,1,2
92805,2,4
92811,3,3
92825,1,2
92829,0,0
92839,3,4
92845,2,3
92847,2,2
92851,0,0
92859,1,3
92860,1,2
92865,0,0
92884,1,3
92899,2,3
92901,3,4
92902,1,1
92906,1,3
92911,3,3
92916,1,3
92920,1,2
92926,2,3
92939,2,3
92940,1,2
92944,2,3
92952,1,3
92956,0,0
92958,1,3
92968,3,4
92974,1,3
93001,3,2
93002,1,3
93011,1,0
93013,1,2
93019,0,0
93021,1,3
93040,2,2
93055,1,1
93058,1,3
93059,2,2
93067,1,4
93077,1,2
93079,2,3
93082,1,0
93085,3,4
93094,2,3
93102,2,3
93103,2,3
93108,3,1
93120,3,4
93131,2,3
93137,1,4
93148,1,3
93159,2,3
93174,2,2
93177,1,4
93186,1,2
93203,1,0
93206,2,2
93213,3,4
93214,1,3
93219,1,3
93228,3,4
93231,1,3
93236,2,3
93243,1,3
93250,1,2
93251,1,4
93256,1,1
93269,1,3
93279,3,2
93282,2,3
93287,1,3
93297,1,2
93299,2,4
93305,1,2
93307,2,2
93314,1,3
93317,2,4
93318,3,2
93320,1,3
93323,3,3
93326,2,5
93341,3,4
93342,3,4
93355,1,4
93369,1,3
93384,3,2
93394,2,3
93396,1,0
93408,1,2
93420,1,3
93426,1,1
93443,1,3
93452,1,0
93456,1,3
93468,1,4
93470,2,4
93474,3,3
93476,1,1
93482,0,0
93484,2,5
93485,3,4
93495,1,4
93514,3,4
93531,1,3
93537,2,3
93538,1,2
93556,1,2
93557,2,3
93573,1,3
93579,0,0
93589,1,3
93593,2,5
93596,1,2
93600,1,1
93610,1,3
93616,2,2
93626,3,4
93631,1,2
93633,1,2
93637,0,0
93638,1,3
93641,1,3
93657,1,3
93661,3,2
93662,1,1
93667,1,1
93669,3,4
93671,1,3
93672,3,4
93678,2,3
93679,2,4
93682,1,3
93685,1,0
93686,1,2
93689,2,3
93690,1,3
93693,1,3
93698,1,1
93706,1,1
93707,1,3
93710,1,3
93715,3,4
93721,1,4
93722,1,1
93729,3,3
93739,1,2
93749,1,2
93758,1,0
93761,3,2
93764,1,3
93774,1,3
93784,2,3
93791,3,2
93794,1,2
93795,2,2
93802,1,4
93813,3,4
93817,2,2
93833,1,3
93834,1,2
93840,1,2
93851,0,1
93858,0,1
93868,1,2
93871,1,3
93877,3,3
93886,1,3
93895,1,2
93903,1,0
93908,1,3
93914,1,3
93920,1,2
93925,3,4
93926,2,3
93927,1,3
93942,1,2
93951,1,3
93953,2,3
93955,0,2
93960,1,2
93963,3,4
93968,1,3
93971,1,3
93978,3,2
93980,2,2
93987,0,0
93991,1,3
93999,1,2
94002,2,2
94009,3,4
94012,2,3
94024,1,2
94028,3,4
94042,1,3
94044,1,2
94048,0,0
94053,1,2
94060,2,4
94062,1,3
94088,2,3
94089,1,2
94091,1,1
94095,1,2
94099,2,3
94105,1,3
94118,3,4
94122,1,3
94130,1,2
94140,1,3
94148,1,3
94157,1,3
94158,1,2
